Level,Extreme,High,Moderate,Low,Terrible
-1,0.2040816326530612,0.18367346938775508,0.12244897959183672,0.061224489795918366,0.02040816326530612
0,0.22448979591836732,0.2040816326530612,0.14285714285714285,0.08163265306122448,0.04081632653061224
1,0.24489795918367344,0.22448979591836732,0.16326530612244897,0.1020408163265306,0.061224489795918366
2,0.2653061224489796,0.24489795918367344,0.18367346938775508,0.12244897959183672,0.08163265306122448
3,0.30612244897959184,0.2653061224489796,0.2040816326530612,0.14285714285714285,0.1020408163265306
4,0.32653061224489793,0.30612244897959184,0.24489795918367344,0.18367346938775508,0.14285714285714285
5,0.3673469387755102,0.32653061224489793,0.2653061224489796,0.2040816326530612,0.16326530612244897
6,0.3877551020408163,0.3673469387755102,0.30612244897959184,0.24489795918367344,0.18367346938775508
7,0.42857142857142855,0.3877551020408163,0.32653061224489793,0.2653061224489796,0.22448979591836732
8,0.4489795918367347,0.40816326530612246,0.3469387755102041,0.2857142857142857,0.24489795918367344
9,0.4897959183673469,0.4489795918367347,0.3877551020408163,0.32653061224489793,0.2653061224489796
10,0.5102040816326531,0.4693877551020408,0.40816326530612246,0.3469387755102041,0.30612244897959184
11,0.5510204081632653,0.5102040816326531,0.4489795918367347,0.3877551020408163,0.32653061224489793
12,0.5714285714285714,0.5306122448979592,0.4693877551020408,0.40816326530612246,0.3469387755102041
13,0.6122448979591837,0.5510204081632653,0.4897959183673469,0.42857142857142855,0.3877551020408163
14,0.6326530612244897,0.5918367346938775,0.5306122448979592,0.4693877551020408,0.40816326530612246
15,0.673469387755102,0.6122448979591837,0.5510204081632653,0.4897959183673469,0.42857142857142855
16,0.6938775510204082,0.6326530612244897,0.5918367346938775,0.5306122448979592,0.4693877551020408
17,0.7346938775510203,0.673469387755102,0.6122448979591837,0.5510204081632653,0.4897959183673469
18,0.7551020408163265,0.6938775510204082,0.6326530612244897,0.5714285714285714,0.5102040816326531
19,0.7959183673469388,0.7346938775510203,0.673469387755102,0.6122448979591837,0.5510204081632653
20,0.8163265306122448,0.7551020408163265,0.6938775510204082,0.6326530612244897,0.5714285714285714
21,0.8571428571428571,0.7959183673469388,0.7346938775510203,0.673469387755102,0.5918367346938775
22,0.8979591836734694,0.8163265306122448,0.7551020408163265,0.6938775510204082,0.6326530612244897
23,0.9183673469387754,0.836734693877551,0.7755102040816326,0.7142857142857143,0.6530612244897959
24,0.9591836734693877,0.8775510204081632,0.7959183673469388,0.7551020408163265,0.673469387755102
