Level,Extreme,High,Moderate
-1,0.3877551020408163,0.32653061224489793,0.26530612244897955
0,0.3877551020408163,0.32653061224489793,0.26530612244897955
1,0.4081632653061224,0.3469387755102041,0.2857142857142857
2,0.44897959183673464,0.36734693877551017,0.3061224489795918
3,0.4693877551020408,0.4081632653061224,0.3469387755102041
4,0.5102040816326531,0.42857142857142855,0.36734693877551017
5,0.5306122448979591,0.44897959183673464,0.3877551020408163
6,0.5510204081632653,0.4897959183673469,0.42857142857142855
7,0.5918367346938775,0.5102040816326531,0.44897959183673464
8,0.6122448979591836,0.5306122448979591,0.4693877551020408
9,0.6530612244897959,0.5714285714285714,0.5102040816326531
10,0.673469387755102,0.5918367346938775,0.5306122448979591
11,0.6938775510204082,0.6122448979591836,0.5510204081632653
12,0.7346938775510203,0.6530612244897959,0.5918367346938775
13,0.7551020408163265,0.673469387755102,0.6122448979591836
14,0.7959183673469387,0.6938775510204082,0.6326530612244897
15,0.8163265306122448,0.7346938775510203,0.673469387755102
16,0.836734693877551,0.7551020408163265,0.6938775510204082
17,0.8775510204081632,0.7755102040816326,0.7142857142857142
18,0.8979591836734693,0.8163265306122448,0.7551020408163265
19,0.9387755102040816,0.836734693877551,0.7755102040816326
20,0.9591836734693877,0.8571428571428571,0.7959183673469387
21,0.9795918367346939,0.8979591836734693,0.836734693877551
22,1.0204081632653061,0.9183673469387754,0.8571428571428571
23,1.040816326530612,0.9387755102040816,0.8775510204081632
24,1.0612244897959182,0.9795918367346939,0.9183673469387754
