Level,Extreme,High,Moderate,Low
-1,0.32075471698113206,0.2641509433962264,0.24528301886792453,0.20754716981132076
0,0.33962264150943394,0.2830188679245283,0.2641509433962264,0.22641509433962265
1,0.33962264150943394,0.2830188679245283,0.2641509433962264,0.22641509433962265
2,0.3773584905660377,0.32075471698113206,0.3018867924528302,0.2641509433962264
3,0.3962264150943396,0.33962264150943394,0.32075471698113206,0.2830188679245283
4,0.4339622641509434,0.3773584905660377,0.3584905660377358,0.32075471698113206
5,0.4528301886792453,0.3962264150943396,0.3773584905660377,0.33962264150943394
6,0.49056603773584906,0.4339622641509434,0.4150943396226415,0.3773584905660377
7,0.5094339622641509,0.4528301886792453,0.4339622641509434,0.3962264150943396
8,0.5471698113207547,0.49056603773584906,0.4716981132075472,0.4339622641509434
9,0.5660377358490566,0.5094339622641509,0.49056603773584906,0.4528301886792453
10,0.6037735849056604,0.5471698113207547,0.5283018867924528,0.49056603773584906
11,0.6226415094339622,0.5660377358490566,0.5471698113207547,0.5094339622641509
12,0.660377358490566,0.6037735849056604,0.5849056603773585,0.5471698113207547
13,0.6792452830188679,0.6226415094339622,0.6037735849056604,0.5660377358490566
14,0.7169811320754716,0.660377358490566,0.6415094339622641,0.6037735849056604
15,0.7358490566037735,0.6792452830188679,0.660377358490566,0.6226415094339622
16,0.7735849056603773,0.7169811320754716,0.6981132075471698,0.660377358490566
17,0.7924528301886792,0.7358490566037735,0.7169811320754716,0.6792452830188679
18,0.830188679245283,0.7735849056603773,0.7547169811320754,0.7169811320754716
19,0.8490566037735848,0.7924528301886792,0.7735849056603773,0.7358490566037735
20,0.8867924528301887,0.830188679245283,0.8113207547169811,0.7735849056603773
21,0.9056603773584906,0.8490566037735848,0.830188679245283,0.7924528301886792
22,0.9433962264150944,0.8867924528301887,0.8679245283018867,0.830188679245283
23,0.9622641509433962,0.9056603773584906,0.8867924528301887,0.8490566037735848
24,1.0,0.9433962264150944,0.9245283018867925,0.8867924528301887
