Level,Extreme,High,Moderate,Low
-1,0.2127659574468085,0.1702127659574468,0.1276595744680851,0.0851063829787234
0,0.2127659574468085,0.1702127659574468,0.1276595744680851,0.0851063829787234
1,0.23404255319148937,0.19148936170212766,0.14893617021276595,0.10638297872340426
2,0.2765957446808511,0.23404255319148937,0.19148936170212766,0.14893617021276595
3,0.2978723404255319,0.2553191489361702,0.2127659574468085,0.1702127659574468
4,0.3404255319148936,0.2978723404255319,0.2553191489361702,0.19148936170212766
5,0.36170212765957444,0.3191489361702128,0.2765957446808511,0.23404255319148937
6,0.40425531914893614,0.36170212765957444,0.3191489361702128,0.2553191489361702
7,0.425531914893617,0.3829787234042553,0.3404255319148936,0.2765957446808511
8,0.46808510638297873,0.425531914893617,0.3829787234042553,0.3191489361702128
9,0.48936170212765956,0.44680851063829785,0.40425531914893614,0.3404255319148936
10,0.5319148936170213,0.48936170212765956,0.44680851063829785,0.36170212765957444
11,0.5744680851063829,0.5106382978723404,0.46808510638297873,0.40425531914893614
12,0.5957446808510638,0.5531914893617021,0.5106382978723404,0.425531914893617
13,0.6170212765957447,0.5744680851063829,0.5319148936170213,0.44680851063829785
14,0.6595744680851063,0.6170212765957447,0.5744680851063829,0.48936170212765956
15,0.6808510638297872,0.6382978723404256,0.5957446808510638,0.5106382978723404
16,0.7234042553191489,0.6808510638297872,0.6382978723404256,0.5319148936170213
17,0.7446808510638298,0.7021276595744681,0.6595744680851063,0.5744680851063829
18,0.7872340425531915,0.7446808510638298,0.7021276595744681,0.5957446808510638
19,0.8085106382978723,0.7659574468085106,0.7234042553191489,0.6170212765957447
20,0.851063829787234,0.8085106382978723,0.7659574468085106,0.6595744680851063
21,0.8723404255319148,0.8297872340425532,0.7872340425531915,0.6808510638297872
22,0.9148936170212766,0.8723404255319148,0.8297872340425532,0.7021276595744681
23,0.9361702127659575,0.8936170212765957,0.851063829787234,0.7446808510638298
24,0.9787234042553191,0.9361702127659575,0.8936170212765957,0.7659574468085106
